timestamp,fwd,bwd,bwd_inner,bwd_allreduce,step
"2024-12-09 12:36:22,243",805.86,902.41,841.27,61.04,528.3
"2024-12-09 12:36:22,299",4.11,7.94,4.36,3.52,8.97
"2024-12-09 12:36:22,349",4.11,21.08,3.97,17.05,9.2
"2024-12-09 12:36:22,398",4.12,21.08,4.11,16.91,9.09
"2024-12-09 12:36:22,447",4.07,21.09,4.07,16.96,8.93
"2024-12-09 12:36:22,495",3.95,20.07,3.91,16.1,8.92
"2024-12-09 12:36:22,543",3.94,19.89,3.93,15.9,8.89
"2024-12-09 12:36:22,590",3.89,18.78,3.89,14.83,8.94
"2024-12-09 12:36:22,637",4.0,18.81,3.67,15.07,9.06
"2024-12-09 12:36:22,684",3.87,19.19,3.8,15.34,9.39
"2024-12-09 12:36:22,732",4.09,19.59,4.0,15.53,9.29
"2024-12-09 12:36:22,781",4.05,20.07,3.83,16.18,8.95
"2024-12-09 12:36:22,828",4.11,19.15,3.85,15.24,9.25
"2024-12-09 12:36:22,875",4.12,18.91,3.83,15.03,8.91
"2024-12-09 12:36:22,921",3.85,18.5,3.9,14.54,9.0
"2024-12-09 12:36:22,968",4.07,18.95,3.91,14.97,9.03
"2024-12-09 12:36:23,015",4.14,19.41,3.96,15.39,8.81
"2024-12-09 12:36:23,062",3.99,19.4,3.82,15.52,8.82
"2024-12-09 12:36:23,108",3.84,18.77,3.91,14.81,8.76
"2024-12-09 12:36:23,154",3.9,19.14,3.82,15.27,8.96
"2024-12-09 12:36:23,201",3.87,19.18,4.08,15.04,8.7
"2024-12-09 12:36:23,248",4.15,19.39,4.04,15.28,9.03
"2024-12-09 12:36:23,294",3.96,18.74,3.91,14.78,8.76
"2024-12-09 12:36:23,341",3.78,19.58,3.92,15.61,8.86
"2024-12-09 12:36:23,389",4.01,19.78,3.96,15.76,8.84
"2024-12-09 12:36:23,434",4.0,18.78,3.86,14.86,8.83
"2024-12-09 12:36:23,471",4.02,8.23,4.26,3.92,8.82
"2024-12-09 12:36:23,504",4.03,5.58,3.94,1.59,8.96
"2024-12-09 12:36:23,538",3.76,6.5,4.03,2.41,9.03
"2024-12-09 12:36:23,572",4.04,5.99,3.82,2.11,8.7
"2024-12-09 12:36:23,605",3.82,5.71,3.84,1.81,8.97
"2024-12-09 12:36:23,639",4.16,5.94,4.16,1.72,9.38
"2024-12-09 12:36:23,673",3.97,5.55,3.81,1.68,8.84
"2024-12-09 12:36:23,706",3.82,6.18,4.17,1.96,8.75
"2024-12-09 12:36:23,740",3.86,6.4,3.95,2.4,8.7
"2024-12-09 12:36:23,773",4.09,6.1,3.9,2.14,8.88
"2024-12-09 12:36:23,807",4.05,6.39,4.03,2.29,9.08
"2024-12-09 12:36:23,842",4.19,6.3,4.07,2.15,9.35
"2024-12-09 12:36:23,877",3.99,6.5,4.19,2.25,9.19
"2024-12-09 12:36:23,912",4.02,6.09,4.07,1.95,9.11
"2024-12-09 12:36:23,946",3.85,6.25,3.96,2.23,9.02
"2024-12-09 12:36:23,980",4.06,6.39,4.17,2.16,8.8
"2024-12-09 12:36:24,014",4.09,6.12,3.96,2.1,9.0
"2024-12-09 12:36:24,048",3.98,6.17,3.85,2.27,9.21
"2024-12-09 12:36:24,084",4.08,6.45,4.16,2.23,9.17
"2024-12-09 12:36:24,118",3.95,6.35,4.01,2.26,9.09
"2024-12-09 12:36:24,152",4.06,6.15,3.88,2.21,9.09
"2024-12-09 12:36:24,186",3.91,6.25,4.01,2.18,8.98
"2024-12-09 12:36:24,220",3.73,6.03,3.88,2.1,8.95
"2024-12-09 12:36:24,253",3.98,6.46,3.82,2.58,8.67
"2024-12-09 12:36:24,287",3.76,6.54,3.88,2.61,8.99
"2024-12-09 12:36:24,320",3.82,6.04,3.92,2.06,8.76
"2024-12-09 12:36:24,355",4.0,6.22,4.02,2.12,8.88
"2024-12-09 12:36:24,389",3.73,6.55,4.23,2.26,8.88
"2024-12-09 12:36:24,422",3.95,6.2,3.96,2.19,8.78
"2024-12-09 12:36:24,456",3.95,6.33,3.95,2.33,8.66
"2024-12-09 12:36:24,489",3.9,5.61,3.92,1.63,8.91
"2024-12-09 12:36:24,524",4.18,5.75,3.93,1.76,9.19
"2024-12-09 12:36:24,558",4.03,5.72,4.06,1.61,9.07
"2024-12-09 12:36:24,592",4.14,5.47,3.79,1.63,9.6
"2024-12-09 12:36:24,626",4.12,5.54,3.82,1.66,8.99
"2024-12-09 12:36:24,660",4.0,5.79,3.99,1.73,9.39
"2024-12-09 12:36:24,695",4.23,5.79,4.03,1.67,9.33
"2024-12-09 12:36:24,730",4.17,5.95,4.02,1.87,9.27
"2024-12-09 12:36:24,765",4.29,5.61,3.88,1.67,9.19
"2024-12-09 12:36:24,799",4.08,5.81,3.96,1.8,9.16
"2024-12-09 12:36:24,834",4.16,5.94,4.14,1.74,9.11
"2024-12-09 12:36:24,868",3.99,6.34,4.07,2.21,9.16
"2024-12-09 12:36:24,902",4.04,6.14,4.07,2.01,8.99
"2024-12-09 12:36:24,937",3.96,6.21,4.01,2.15,8.65
"2024-12-09 12:36:24,970",3.95,5.9,3.94,1.91,8.67
"2024-12-09 12:36:25,003",3.87,5.92,3.89,1.97,8.89
"2024-12-09 12:36:25,036",3.87,6.23,3.99,2.19,8.73
"2024-12-09 12:36:25,070",3.97,6.08,4.0,2.02,9.03
"2024-12-09 12:36:25,104",4.02,6.1,3.9,2.14,8.96
"2024-12-09 12:36:25,138",3.96,6.28,3.94,2.28,8.75
"2024-12-09 12:36:25,171",3.92,5.85,3.89,1.91,8.96
"2024-12-09 12:36:25,205",3.87,6.13,3.95,2.13,8.71
"2024-12-09 12:36:25,238",4.06,6.25,4.05,2.15,8.58
"2024-12-09 12:36:25,272",3.99,5.96,3.84,2.04,8.71
"2024-12-09 12:36:25,305",3.86,6.44,4.31,2.08,8.94
"2024-12-09 12:36:25,340",3.96,6.28,4.16,2.07,9.07
"2024-12-09 12:36:25,374",4.1,6.07,3.85,2.16,8.95
"2024-12-09 12:36:25,408",3.96,6.36,3.81,2.49,9.19
"2024-12-09 12:36:25,443",4.24,6.3,4.0,2.24,9.15
"2024-12-09 12:36:25,477",3.93,6.3,3.81,2.44,9.06
"2024-12-09 12:36:25,512",3.96,6.54,4.26,2.21,9.02
"2024-12-09 12:36:25,546",3.93,6.41,4.1,2.26,9.02
"2024-12-09 12:36:25,580",3.97,6.11,4.06,1.99,8.94
"2024-12-09 12:36:25,614",4.06,5.96,4.06,1.82,8.93
"2024-12-09 12:36:25,647",3.95,5.89,3.93,1.9,8.93
"2024-12-09 12:36:25,681",3.93,5.91,3.98,1.87,8.97
"2024-12-09 12:36:25,715",4.0,6.09,4.15,1.87,8.76
"2024-12-09 12:36:25,750",3.97,6.33,4.26,2.01,9.23
"2024-12-09 12:36:25,783",4.02,5.99,3.87,2.06,8.84
"2024-12-09 12:36:25,818",3.97,6.29,4.05,2.18,9.17
"2024-12-09 12:36:25,852",4.15,6.3,4.02,2.21,8.99
"2024-12-09 12:36:25,886",3.77,6.22,3.92,2.22,8.85
"2024-12-09 12:36:25,919",3.8,6.08,3.92,2.1,8.89
"2024-12-09 12:36:25,953",4.05,6.2,4.2,1.93,9.17
"2024-12-09 12:36:25,988",3.95,6.21,4.05,2.11,9.02
"2024-12-09 12:36:26,022",4.07,5.99,3.88,2.04,9.04
"2024-12-09 12:36:26,057",3.9,6.4,4.03,2.32,9.57
"2024-12-09 12:36:26,092",4.02,6.86,4.02,2.79,9.05
"2024-12-09 12:36:26,127",3.93,6.11,4.03,2.01,9.25
"2024-12-09 12:36:26,162",4.12,7.2,4.0,3.14,8.96
"2024-12-09 12:36:26,197",3.88,6.74,4.16,2.52,9.03
"2024-12-09 12:36:26,231",3.86,6.76,4.18,2.52,9.13
"2024-12-09 12:36:26,266",3.94,6.63,3.92,2.65,8.75
"2024-12-09 12:36:26,299",3.83,6.32,3.95,2.31,8.93
"2024-12-09 12:36:26,334",5.08,5.84,3.97,1.8,9.15
"2024-12-09 12:36:26,368",4.02,5.78,4.09,1.63,8.9
"2024-12-09 12:36:26,401",4.03,5.65,3.93,1.63,9.08
"2024-12-09 12:36:26,435",4.1,5.69,4.0,1.63,8.87
"2024-12-09 12:36:26,469",4.03,6.06,4.11,1.9,9.18
"2024-12-09 12:36:26,504",4.09,6.64,3.88,2.71,9.24
"2024-12-09 12:36:26,538",4.1,5.67,3.98,1.63,8.98
"2024-12-09 12:36:26,573",4.09,6.02,4.01,1.95,9.02
"2024-12-09 12:36:26,607",3.97,6.27,3.94,2.27,9.22
"2024-12-09 12:36:26,641",3.91,6.35,3.97,2.33,8.93
"2024-12-09 12:36:26,676",3.96,6.66,3.92,2.68,9.02
"2024-12-09 12:36:26,710",3.84,6.84,3.96,2.81,8.85
"2024-12-09 12:36:26,743",3.98,6.08,3.94,2.09,8.7
"2024-12-09 12:36:26,776",3.77,6.22,3.92,2.25,8.71
"2024-12-09 12:36:26,810",3.83,6.56,4.13,2.37,9.18
"2024-12-09 12:36:26,845",4.15,6.5,4.14,2.3,9.15
"2024-12-09 12:36:26,879",4.01,6.41,3.97,2.39,9.07
"2024-12-09 12:36:26,913",4.0,6.13,3.88,2.19,8.91
"2024-12-09 12:36:26,947",3.87,6.0,3.85,2.08,9.05
"2024-12-09 12:36:26,981",4.04,6.21,4.01,2.15,9.08
"2024-12-09 12:36:27,015",4.03,6.33,3.87,2.41,9.15
"2024-12-09 12:36:27,049",3.85,6.54,4.14,2.34,9.07
"2024-12-09 12:36:27,083",3.97,6.03,3.89,2.08,8.78
"2024-12-09 12:36:27,117",3.98,6.26,3.94,2.24,8.62
"2024-12-09 12:36:27,150",3.75,6.25,3.86,2.34,8.94
"2024-12-09 12:36:27,183",3.93,6.15,3.89,2.2,8.64
"2024-12-09 12:36:27,216",3.72,6.29,3.92,2.31,8.67
"2024-12-09 12:36:27,249",3.74,6.42,3.89,2.48,8.83
"2024-12-09 12:36:27,282",3.96,5.99,3.82,2.12,8.67
"2024-12-09 12:36:27,316",3.97,6.29,4.11,2.13,8.61
"2024-12-09 12:36:27,350",3.9,6.21,3.93,2.23,9.08
"2024-12-09 12:36:27,383",3.87,6.21,3.79,2.36,8.68
"2024-12-09 12:36:27,416",3.78,6.32,4.32,1.95,8.95
"2024-12-09 12:36:27,450",3.88,6.05,4.09,1.9,8.93
"2024-12-09 12:36:27,485",4.19,6.36,4.12,2.19,9.32
"2024-12-09 12:36:27,518",3.86,6.11,3.94,2.12,8.81
"2024-12-09 12:36:27,552",4.04,5.92,3.83,2.02,9.25
"2024-12-09 12:36:27,586",3.8,6.1,3.99,2.06,8.75
"2024-12-09 12:36:27,620",3.92,6.29,3.98,2.26,9.0
"2024-12-09 12:36:27,653",4.0,5.91,3.87,1.98,8.98
"2024-12-09 12:36:27,687",3.89,6.36,4.14,2.17,9.0
"2024-12-09 12:36:27,722",4.01,6.12,3.92,2.14,9.11
"2024-12-09 12:36:27,756",4.03,6.27,3.99,2.21,9.05
"2024-12-09 12:36:27,791",3.96,6.44,4.06,2.32,9.11
"2024-12-09 12:36:27,826",4.13,6.3,4.05,2.19,9.12
"2024-12-09 12:36:27,860",3.98,6.56,4.07,2.43,8.74
"2024-12-09 12:36:27,893",4.2,5.92,3.87,1.99,8.89
"2024-12-09 12:36:27,927",3.87,6.05,3.94,2.05,9.07
"2024-12-09 12:36:27,961",3.89,6.06,3.83,2.17,8.77
"2024-12-09 12:36:27,994",3.95,5.81,3.78,1.97,8.89
"2024-12-09 12:36:28,028",3.95,6.11,4.08,1.97,9.11
"2024-12-09 12:36:28,062",4.01,6.27,4.04,2.16,8.77
"2024-12-09 12:36:28,095",3.91,5.94,3.91,1.98,8.64
"2024-12-09 12:36:28,128",3.87,5.97,3.93,1.98,8.87
"2024-12-09 12:36:28,162",3.96,6.03,3.96,2.01,8.86
"2024-12-09 12:36:28,196",3.95,5.97,4.12,1.8,8.68
"2024-12-09 12:36:28,229",3.92,6.08,3.97,2.05,9.07
"2024-12-09 12:36:28,263",3.95,6.26,3.93,2.27,8.91
"2024-12-09 12:36:28,297",3.89,6.08,4.23,1.8,8.9
"2024-12-09 12:36:28,331",3.78,6.21,4.16,1.99,9.26
"2024-12-09 12:36:28,365",4.17,5.92,3.94,1.92,9.16
"2024-12-09 12:36:28,399",3.93,6.23,4.3,1.85,9.12
"2024-12-09 12:36:28,433",4.12,5.88,3.93,1.9,8.8
"2024-12-09 12:36:28,467",3.86,6.38,3.98,2.34,9.0
"2024-12-09 12:36:28,501",3.84,5.83,4.15,1.62,9.25
"2024-12-09 12:36:28,534",3.92,5.71,3.86,1.79,8.83
"2024-12-09 12:36:28,567",4.02,5.61,3.87,1.68,8.81
